yearmonth,노선,actual,predicted,error,abs_error,target
2024-01-01,경부선,-2.0,16.977149946536976,-18.977149946536976,18.977149946536976,공실률
2024-02-01,경부선,-12.0,15.591267813492326,-27.591267813492326,27.591267813492326,공실률
2024-03-01,경부선,-5.0,23.556175359055437,-28.556175359055437,28.556175359055437,공실률
2024-04-01,경부선,-11.0,16.823782602525856,-27.823782602525856,27.823782602525856,공실률
2024-05-01,경부선,-15.0,12.281780466913954,-27.281780466913954,27.281780466913954,공실률
2024-06-01,경부선,-10.0,16.978072952314196,-26.978072952314196,26.978072952314196,공실률
2024-07-01,경부선,-7.0,17.976196636253764,-24.976196636253764,24.976196636253764,공실률
2024-08-01,경부선,-9.0,14.5641726238564,-23.5641726238564,23.5641726238564,공실률
2024-09-01,경부선,-10.0,17.726227775171388,-27.726227775171388,27.726227775171388,공실률
2024-10-01,경부선,-15.0,10.50866641452614,-25.50866641452614,25.50866641452614,공실률
2024-11-01,경부선,-21.0,8.400001705496546,-29.400001705496546,29.400001705496546,공실률
2024-12-01,경부선,-17.0,12.243621330559508,-29.243621330559506,29.243621330559506,공실률
2024-01-01,경전선,-11.0,9.358534586812633,-20.35853458681263,20.35853458681263,공실률
2024-02-01,경전선,-23.0,8.791314015340449,-31.791314015340447,31.791314015340447,공실률
2024-03-01,경전선,-19.0,15.451882955469722,-34.45188295546972,34.45188295546972,공실률
2024-04-01,경전선,-23.0,5.02115241844149,-28.02115241844149,28.02115241844149,공실률
2024-05-01,경전선,-28.0,0.54242727979166,-28.54242727979166,28.54242727979166,공실률
2024-06-01,경전선,-23.0,6.19088375403403,-29.19088375403403,29.19088375403403,공실률
2024-07-01,경전선,-19.0,8.007156777479018,-27.007156777479018,27.007156777479018,공실률
2024-08-01,경전선,-22.0,7.700682309625264,-29.700682309625265,29.700682309625265,공실률
2024-09-01,경전선,-23.0,5.661502404058344,-28.661502404058343,28.661502404058343,공실률
2024-10-01,경전선,-26.0,-1.034109581273973,-24.965890418726026,24.965890418726026,공실률
2024-11-01,경전선,-33.0,-4.1553401563471715,-28.844659843652828,28.844659843652828,공실률
2024-12-01,경전선,-28.0,2.5575996276790613,-30.55759962767906,30.55759962767906,공실률
2024-01-01,동해선,-14.0,13.882751186282256,-27.882751186282256,27.882751186282256,공실률
2024-02-01,동해선,-27.0,36.41307682518741,-63.41307682518741,63.41307682518741,공실률
2024-03-01,동해선,-18.0,30.32964931463212,-48.32964931463212,48.32964931463212,공실률
2024-04-01,동해선,-24.0,21.199990795240332,-45.19999079524033,45.19999079524033,공실률
2024-05-01,동해선,-29.0,6.597494030889459,-35.59749403088946,35.59749403088946,공실률
2024-06-01,동해선,-25.0,4.431727082274552,-29.431727082274552,29.431727082274552,공실률
2024-07-01,동해선,-21.0,3.60980376679,-24.60980376679,24.60980376679,공실률
2024-08-01,동해선,-24.0,4.723182765594775,-28.723182765594775,28.723182765594775,공실률
2024-09-01,동해선,-25.0,10.985207063646776,-35.985207063646776,35.985207063646776,공실률
2024-10-01,동해선,-28.0,4.238287773484416,-32.238287773484416,32.238287773484416,공실률
2024-11-01,동해선,-34.0,0.925681840015109,-34.92568184001511,34.92568184001511,공실률
2024-12-01,동해선,-31.0,11.71258987655897,-42.71258987655897,42.71258987655897,공실률
2024-01-01,전라선,-1.0,10.387302788943773,-11.387302788943773,11.387302788943773,공실률
2024-02-01,전라선,-13.0,9.621660781904803,-22.6216607819048,22.6216607819048,공실률
2024-03-01,전라선,-6.0,18.07658763793855,-24.07658763793855,24.07658763793855,공실률
2024-04-01,전라선,-11.0,11.385909815781716,-22.385909815781716,22.385909815781716,공실률
2024-05-01,전라선,-19.0,2.9810535154518467,-21.981053515451848,21.981053515451848,공실률
2024-06-01,전라선,-11.0,10.423222810604603,-21.423222810604603,21.423222810604603,공실률
2024-07-01,전라선,-5.0,11.072440456986799,-16.072440456986797,16.072440456986797,공실률
2024-08-01,전라선,-12.0,4.762345487580332,-16.762345487580333,16.762345487580333,공실률
2024-09-01,전라선,-11.0,10.289974217173697,-21.289974217173697,21.289974217173697,공실률
2024-10-01,전라선,-15.0,0.7653168089866531,-15.765316808986654,15.765316808986654,공실률
2024-11-01,전라선,-20.0,0.9019604374494179,-20.901960437449418,20.901960437449418,공실률
2024-12-01,전라선,-15.0,5.285130333416552,-20.285130333416554,20.285130333416554,공실률
2024-01-01,호남선,18.0,28.081175247661793,-10.081175247661793,10.081175247661793,공실률
2024-02-01,호남선,8.0,28.572755722118536,-20.572755722118536,20.572755722118536,공실률
2024-03-01,호남선,14.0,33.710326142412676,-19.710326142412676,19.710326142412676,공실률
2024-04-01,호남선,9.0,26.951042447698878,-17.951042447698878,17.951042447698878,공실률
2024-05-01,호남선,6.0,22.064153629893006,-16.064153629893006,16.064153629893006,공실률
2024-06-01,호남선,9.0,28.952545913247885,-19.952545913247885,19.952545913247885,공실률
2024-07-01,호남선,15.0,31.001465118047328,-16.001465118047328,16.001465118047328,공실률
2024-08-01,호남선,12.0,27.37695636771222,-15.376956367712221,15.376956367712221,공실률
2024-09-01,호남선,7.0,25.893347555495307,-18.893347555495307,18.893347555495307,공실률
2024-10-01,호남선,6.0,21.826540187765897,-15.826540187765897,15.826540187765897,공실률
2024-11-01,호남선,0.0,20.716669953822567,-20.716669953822567,20.716669953822567,공실률
2024-12-01,호남선,7.0,24.46729615577395,-17.46729615577395,17.46729615577395,공실률
