노선,변수,SHAP중요도
경부선,월,0.9929
경부선,분기,1.0968
경부선,계절,0.3521
경부선,코로나기간,2.4311
경부선,SRT개통후,0.2682
경부선,공실률_lag1,3.9908
경부선,공실률_lag12,0.8003
경부선,공실률_ma3,6.386
경부선,공휴일수,0.683
경부선,명절연휴포함,0.0909
경부선,황금연휴포함,0.0175
호남선,월,0.908
호남선,분기,1.0765
호남선,계절,0.6655
호남선,코로나기간,0.7126
호남선,SRT개통후,0.2434
호남선,공실률_lag1,4.7376
호남선,공실률_lag12,1.7946
호남선,공실률_ma3,4.2307
호남선,공휴일수,1.1629
호남선,명절연휴포함,0.0552
호남선,황금연휴포함,0.0624
경전선,월,0.9002
경전선,분기,1.403
경전선,계절,0.7447
경전선,코로나기간,3.5848
경전선,SRT개통후,0.2595
경전선,공실률_lag1,5.204
경전선,공실률_lag12,1.7447
경전선,공실률_ma3,3.6363
경전선,공휴일수,0.7949
경전선,명절연휴포함,0.1157
경전선,황금연휴포함,0.0339
전라선,월,1.004
전라선,분기,1.1951
전라선,계절,0.778
전라선,코로나기간,3.0402
전라선,SRT개통후,0.5347
전라선,공실률_lag1,4.3243
전라선,공실률_lag12,1.0721
전라선,공실률_ma3,4.6068
전라선,공휴일수,1.648
전라선,명절연휴포함,0.0558
전라선,황금연휴포함,0.0815
동해선,월,1.0996
동해선,분기,0.996
동해선,계절,0.7261
동해선,코로나기간,6.6289
동해선,SRT개통후,0.3547
동해선,공실률_lag1,7.7406
동해선,공실률_lag12,1.8804
동해선,공실률_ma3,5.9038
동해선,공휴일수,0.8895
동해선,명절연휴포함,0.0949
동해선,황금연휴포함,0.1326
