역명,단위,승차인원,하차인원
서울,명,21184388,21149560
용산,명,7398356,7462137
행신,명,1123352,1070805
도라산,명,303,303
서빙고,명,,
문산,명,320,320
능곡,명,,
임진강,명,945,945
덕소,명,46283,52183
양평,명,617965,584506
용문,명,128421,117753
지평,명,17639,17937
석불,명,2643,3075
일신,명,6127,5975
매곡,명,4816,5020
양동,명,84462,87133
삼산,명,1705,1540
청량리,명,2867251,3020940
의정부,명,1283,1283
동두천,명,2120,2120
상봉,명,208230,234372
판교(경기),명,166074,172994
부발,명,35246,33855
서원주,명,119600,112963
원주,명,753506,725456
영등포,명,3689095,3706708
안양,명,215086,201448
수원,명,5945346,6056375
오산,명,91262,97678
서정리,명,35367,43328
평택,명,2137361,2115933
광명,명,6309756,6283382
서화성,명,4899,5549
화성시청,명,2804,2622
향남,명,4349,3732
안중,명,4501,4306
만종,명,583050,558153
철암,명,52100,54232
동백산,명,8300,8208
도계,명,49181,47482
신기,명,1196,850
동해,명,362680,365589
묵호,명,170828,156801
정동진,명,115720,126263
강릉,명,1587288,1563071
태백,명,127429,124141
횡성,명,140786,143943
둔내,명,71564,73659
평창,명,137336,142593
진부,명,197246,197349
성환,명,33739,41019
천안,명,2225184,2235358
전의,명,42610,38052
조치원,명,1435147,1449637
부강,명,49566,48825
신탄진,명,658576,643344
대전,명,9009235,9084554
옥천,명,210370,199015
이원,명,11450,8926
지탄,명,505,220
심천,명,6250,6773
각계,명,245,51
영동,명,466402,476104
황간,명,43515,42976
추풍령,명,17563,15063
서대전,명,2011790,1930974
계룡,명,330416,320471
연산,명,14644,13898
논산,명,628066,633153
강경,명,103901,106560
오송,명,4981309,4858685
청주,명,134620,143822
오근장,명,172860,168940
청주공항,명,82182,88274
증평,명,131973,126563
음성,명,79119,80240
아산,명,430592,402341
온양온천,명,317480,302073
신창,명,401,671
도고온천,명,19463,18819
신례원,명,60559,61128
예산,명,331149,333886
삽교,명,138991,135210
홍성,명,508258,510846
광천,명,137107,133716
청소,명,6290,6507
대천,명,478954,484430
판교(충남),명,18345,19008
서천,명,115264,119413
장항,명,55381,55491
천안아산,명,4582186,4606567
공주,명,154777,153879
웅천,명,54164,55375
인주,명,1096,1123
합덕,명,3246,3139
봉양,명,5115,4708
제천,명,931495,917918
단양,명,119408,118451
주덕,명,48283,46110
충주,명,523808,513678
삼탄,명,3195,3308
별어곡,명,11,7
선평,명,3,2
정선,명,1081,1442
나전,명,40,39
아우라지,명,306,410
쌍룡,명,1306,726
영월,명,110325,102512
예미,명,12786,11944
민둥산,명,33071,36249
사북,명,96629,98719
고한,명,34540,33535
가남,명,3029,3086
감곡장호원,명,36237,36011
앙성온천,명,13644,13026
살미,명,578,517
수안보온천,명,1844,1779
연풍,명,648,649
문경,명,8449,8510
백양사,명,21138,23093
장성,명,107358,107067
광주송정,명,2799119,2850423
나주,명,479906,468430
다시,명,2654,2854
함평,명,37800,38334
무안,명,3378,4293
몽탄,명,4072,4391
일로,명,20412,18045
임성리,명,4635,4210
목포,명,1025031,1042634
극락강,명,9683,10857
광주,명,160341,175593
이양,명,1517,1715
능주,명,2165,2215
화순,명,9705,9161
효천,명,13282,11088
서광주,명,6030,6397
함열,명,38213,38472
익산,명,2675855,2643094
김제,명,191719,197245
신태인,명,39607,41020
정읍,명,603817,612974
삼례,명,53904,56458
전주,명,1795562,1782323
임실,명,48241,47411
오수,명,33607,34613
남원,명,419702,422869
군산,명,232847,250591
대야,명,3608,3598
곡성,명,125449,129242
구례구,명,106564,109192
순천,명,1341986,1337627
여천,명,445522,439436
여수엑스포,명,789092,791365
진상,명,8273,7928
광양,명,12851,13231
벌교,명,9399,9590
조성,명,4391,3395
예당,명,4515,3675
득량,명,4507,4275
보성,명,28323,27661
명봉,명,1455,1385
김천,명,811164,816758
구미,명,2080256,2100303
약목,명,44955,48977
왜관,명,652696,644146
신동,명,3970,4721
대구,명,1877356,1878898
동대구,명,9690722,9749141
경산,명,1027183,991888
남성현,명,2711,3020
청도,명,437106,443523
북영천,명,3030,3246
영천,명,414038,396399
아화,명,9525,9695
하양,명,402854,345640
김천구미,명,1164715,1160952
경주,명,1471334,1494130
서경주,명,30028,28796
안강,명,10953,10200
포항,명,1429247,1443564
서대구,명,712850,696055
풍기,명,89064,88648
영주,명,385800,373887
의성,명,39604,40279
탑리,명,10272,10266
화본,명,6944,6435
신녕,명,2601,3137
옥산,명,9169,8323
청리,명,3266,2864
상주,명,40147,37704
함창,명,5167,4507
점촌,명,34570,32265
용궁,명,3746,3972
개포,명,11525,10304
예천,명,14143,13689
봉화,명,10121,11302
춘양,명,10523,9958
임기,명,332,221
현동,명,1122,1064
분천,명,59455,52687
양원,명,1327,875
승부,명,1858,2964
석포,명,5437,5766
안동,명,475335,470562
군위,명,387,360
상동,명,36031,34566
밀양,명,1053790,1067019
삼랑진,명,142934,143485
원동,명,70570,74115
물금,명,574267,551838
화명,명,81353,66411
구포,명,1290455,1339813
사상,명,30302,33997
부산,명,8631449,8615568
부전,명,244967,260015
센텀,명,36276,35225
신해운대,명,88935,93133
기장,명,44355,39648
남창,명,26228,23917
태화강,명,411192,401941
한림정,명,6481,7523
진영,명,270238,258281
창원,명,289310,318454
마산,명,617774,625387
중리,명,36077,30113
함안,명,36077,34418
군북,명,26803,27279
반성,명,11060,12583
진주,명,572625,557021
완사,명,4535,4774
북천,명,8233,8362
횡천,명,7151,6848
하동,명,35602,35664
울산,명,2287732,2304373
진례,명,3981,4861
창원중앙,명,1271592,1247955
북울산,명,234120,223501
