"선명","KTX(회_일)","ITX(회_일)","새마을(회_일)","무궁화(회_일)","누리로(회_일)","통근(회_일)","전동차(회_일)"
"경부선","105","","16","52","6","","392"
"호남선","56","","12","50","4","",""
"전라선","28","","4","24","","",""
"장항선","","","10","18","","","3"
"중앙선","","","4","18","","","184"
"태백선","","","","12","","",""
"영동선","","","","6","","",""
"충북선","","","","12","4","",""
"대구선","","","","8","","",""
"동해남부선","","","","30","","","96"
"경전선","24","","4","22","","",""
"경춘선","","36","","","","","117"
"경의선","","","","","","","54"
"경원선","","","","","","28","28"
"경북선","","","","6","","",""
"수인선","","","","","","","174"
"동해선","26","","","14","","",""
"정선선","","","","","","",""
"괴동선","","","","","","",""
"강릉선","","","","36","","",""
"경강선","","","","","","","118"
"경인선","","","","","","","474"
"안산선","","","","","","","267"
"분당선","","","","","","","360"
"일산선","","","","","","","268"
